,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,T-stat,P-value,significance,Chi-square,D.Freedom,stage,class,In use
180,industry_enrichment_Biotechnology,0,0,57237,float64,2,0,0.000227126,0.015069114,0,1,numerical,0.677026444,0.498391913,Yes,,,1,contact,TRUE
181,industry_enrichment_Chemicals,0,0,57237,float64,2,0,0.000611493,0.02472103,0,1,numerical,0.178810576,0.858087073,Yes,,,1,contact,TRUE
182,industry_enrichment_Communications,0,0,57237,float64,2,0,0.001065744,0.032628622,0,1,numerical,1.467193935,0.142328801,Yes,,,1,contact,TRUE
183,industry_enrichment_Construction and Real Estate,0,0,57237,float64,2,0,0.001519996,0.038957823,0,1,numerical,1.160986441,0.245652255,Yes,,,1,contact,TRUE
184,industry_enrichment_Consulting,0,0,57237,float64,2,0,0.002760452,0.052467896,0,1,numerical,-0.711547758,0.476747767,Yes,,,1,contact,TRUE
185,industry_enrichment_Consumer Goods,0,0,57237,float64,2,0,0.002533326,0.050268805,0,1,numerical,-1.404122352,0.160287845,Yes,,,1,contact,TRUE
186,industry_enrichment_Cosmetics,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
187,industry_enrichment_Cryptocurrency and Blockchain,0,0,57237,float64,2,0,0.000122299,0.011058286,0,1,numerical,0.496774628,0.619349897,Yes,,,1,contact,TRUE
188,industry_enrichment_Customer Service Ambassador,0,0,57237,float64,2,0,3.49E-05,0.005911161,0,1,numerical,0.2655252,0.790605856,Yes,,,1,contact,TRUE
189,industry_enrichment_Cybersecurity,0,0,57237,float64,2,0,0.000454252,0.021308524,0,1,numerical,-0.124018223,0.901301282,Yes,,,1,contact,TRUE
190,industry_enrichment_Design and Creative Services,0,0,57237,float64,2,0,8.74E-05,0.009346121,0,1,numerical,0.419843596,0.674601291,Yes,,,1,contact,TRUE
191,industry_enrichment_Design and User Experience,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
192,industry_enrichment_E-commerce,0,0,57237,float64,2,0,0.001659766,0.040706752,0,1,numerical,-0.433186957,0.664880586,Yes,,,1,contact,TRUE
193,industry_enrichment_Education,0,0,57237,float64,2,0,0.003249646,0.056913466,0,1,numerical,0.540022755,0.589183441,Yes,,,1,contact,TRUE
194,industry_enrichment_Education and E-Learning,0,0,57237,float64,2,0,0.002131488,0.046119218,0,1,numerical,-0.422632922,0.672564691,Yes,,,1,contact,TRUE
195,industry_enrichment_Electronics,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
196,industry_enrichment_Energy,0,0,57237,float64,2,0,0.001240456,0.035198569,0,1,numerical,-0.38130573,0.702977817,Yes,,,1,contact,TRUE
