Column,Missing,Missing_p,Count,Type,Distinct,Feat_type,stage,class,In use
industry_enrichment_Consumer_Goods,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Cosmetics,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Crafts,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Cryptocurrency_and_Blockchain,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Customer_Service_Ambassador,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Cybersecurity,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Design_and_Creative_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Design_and_User_Experience,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_E_commerce,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Education,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Education_and_E_Learning,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Electronics,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Energy,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Energy_including_Oil_and_Gas_Renewable_Energy_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Entertainment_and_Media,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Entrepreneurship,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Entrepreneurship_and_Startups,,,,,,,1.0,contact,True
industry_enrichment_Environmental_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Event_Management,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Event_and_Media,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Exhibition_and_Event_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Fashion_and_Apparel,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Financial_Technology_FinTech_,,,,,,,1.0,contact,True
industry_enrichment_Food_and_Beverage,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Furniture_Manufacturing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Gambling_and_Betting_Activities,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Gaming,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Government_and_Public_Administration,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Graphic_Design_Artist_s_industry_can_be_aligned_with_various_sectors_but_without_specific_context_the_most_applicable_general_industry_would_be_Marketing_and_Advertising,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Healthcare_and_Medical_Devices,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Healthcare_and_Pharmaceuticals,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Hospitality_and_Tourism,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Human_Resources_and_Staffing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_I_m_sorry_but_the_information_provided_does_not_give_enough_context_or_specific_details_to_determine_the_industry_accurately_Could_you_please_provide_more_specific_details_about_the_job_responsibilities_or_the_sector_they_worked_in_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_IT,,,,,,,1.0,contact,True
industry_enrichment_Information_Technology_IT_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Insurance,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Interior_Design,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_International_Trade_and_Development,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Internet_of_Things_IoT_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_It_s_not_possible_to_determine_the_industry_from_the_given_job_experience_as_titolare_simply_means_owner_or_holder_in_Italian_and_does_not_specify_the_industry_But_generally_if_no_further_information_is_provided_I_cannot_confidently_assign_one_of_the_industry_labels_listed_,,,,,,,1.0,contact,True
industry_enrichment_Language_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Legal_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Luxury_Goods,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Manufacturing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Marine_and_Boat_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Maritime,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Maritime_and_Naval,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Marketing_and_Advertising,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Media_and_Advertising,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Media_and_Entertainment,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Mining_and_Metals,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Nanotechnology,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_No_industry_label_can_be_inferred_from_Disoccupato_inDissocupata_as_it_translates_to_Unemployed_in_English_which_is_not_associated_with_a_specific_industry_from_the_provided_list_,,,,,,,1.0,contact,True
industry_enrichment_Nonprofit_and_Philanthropy,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Oil_and_Gas,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Packaging,,,,,,,1.0,contact,True
industry_enrichment_Packaging_and_Container_Manufacturing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Packaging_and_Containers,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Paper_and_Forest_Products,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Pharmaceuticals_and_Biomedical_Research,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Photography,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Printing,,,,,,,1.0,contact,True
industry_enrichment_Printing_and_Imaging,,,,,,,1.0,contact,True
industry_enrichment_Printing_and_Publishing,,,,,,,1.0,contact,True
industry_enrichment_Publishing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Publishing_and_Journalism,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Publishing_is_not_an_available_option_based_on_the_labels_you_provided_The_company_Press_di_typically_suggests_a_specialization_in_Press_and_Distribution_Given_the_options_the_most_closely_related_industry_to_this_context_is_Entertainment_and_Media_Please_confirm_if_this_aligns_with_the_industry_categories_list_,,,,,,,1.0,contact,True
industry_enrichment_Real_Estate,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Real_Estate_Photography,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Real_Estate_and_Construction,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Renewable_Energy,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Research_and_Development,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Retail,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Security_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Security_and_Facilities_Management,,,,,,,1.0,contact,True
industry_enrichment_Security_and_Surveillance,,,,,,,1.0,contact,True
industry_enrichment_Semiconductor,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Semiconductors,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Shipbuilding,,,,,,,1.0,contact,True
industry_enrichment_Social_Media,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Social_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Space_Exploration,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Sports_and_Recreation,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Telecommunications,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Textiles_and_Apparel,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Tobacco,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Tourism_and_Hospitality,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Toys_and_Games,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Translation_and_Localization,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Transportation_and_Logistics,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Travel_Photography,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Travel_and_Tourism,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
